task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
36	43/2ba073	7764	run_searchgui_search (7)	COMPLETED	0	2021-01-11 12:14:20.051	48m 14s	48m 11s	102.7%	1.2 GB	6.3 GB	1.6 GB	1.1 GB
48	fe/2b9138	7680	run_searchgui_search (19)	COMPLETED	0	2021-01-11 12:14:20.029	48m 21s	48m 18s	103.3%	1.3 GB	6.3 GB	1.7 GB	1.2 GB
38	79/ef49f8	7610	run_searchgui_search (9)	COMPLETED	0	2021-01-11 12:14:20.009	48m 44s	48m 42s	102.6%	1.3 GB	6.2 GB	1.6 GB	1.1 GB
31	10/a85138	7577	run_searchgui_search (2)	COMPLETED	0	2021-01-11 12:14:19.988	48m 46s	48m 44s	102.6%	1.3 GB	6.3 GB	1.6 GB	1.2 GB
34	5b/cfcfa7	8373	run_searchgui_search (5)	COMPLETED	0	2021-01-11 12:14:20.156	48m 49s	48m 45s	102.7%	1.3 GB	6.3 GB	1.6 GB	1.1 GB
54	49/0201f8	7738	run_searchgui_search (25)	COMPLETED	0	2021-01-11 12:14:20.043	48m 53s	48m 51s	102.9%	1.3 GB	6.2 GB	1.7 GB	1.2 GB
51	85/ae7b17	8119	run_searchgui_search (22)	COMPLETED	0	2021-01-11 12:14:20.121	48m 54s	48m 50s	103.0%	1.3 GB	6.2 GB	1.7 GB	1.2 GB
50	d8/a1d12f	8226	run_searchgui_search (21)	COMPLETED	0	2021-01-11 12:14:20.137	48m 57s	48m 53s	103.0%	1.3 GB	6.3 GB	1.6 GB	1.1 GB
49	38/9d9817	8282	run_searchgui_search (20)	COMPLETED	0	2021-01-11 12:14:20.144	49m 6s	49m 2s	103.1%	1.3 GB	6.2 GB	1.6 GB	1.1 GB
55	67/4a0c38	8186	run_searchgui_search (26)	COMPLETED	0	2021-01-11 12:14:20.132	49m 9s	49m 5s	102.9%	1.3 GB	6.3 GB	1.6 GB	1.1 GB
42	72/952c61	7652	run_searchgui_search (13)	COMPLETED	0	2021-01-11 12:14:20.023	49m 16s	49m 13s	102.7%	1.3 GB	6.1 GB	1.6 GB	1.1 GB
41	01/a7ea2b	8094	run_searchgui_search (12)	COMPLETED	0	2021-01-11 12:14:20.114	49m 23s	49m 19s	102.6%	1.3 GB	6.2 GB	1.6 GB	1.1 GB
39	9e/25fd1f	7941	run_searchgui_search (10)	COMPLETED	0	2021-01-11 12:14:20.084	49m 23s	49m 20s	103.0%	1.3 GB	6.3 GB	1.6 GB	1.1 GB
37	2e/ca87fd	8065	run_searchgui_search (8)	COMPLETED	0	2021-01-11 12:14:20.108	49m 27s	49m 24s	102.7%	1.3 GB	6.2 GB	1.6 GB	1.1 GB
46	1c/bedb46	8152	run_searchgui_search (17)	COMPLETED	0	2021-01-11 12:14:20.127	49m 30s	49m 27s	102.7%	1.3 GB	6.4 GB	1.7 GB	1.2 GB
53	cd/69f0b9	7583	run_searchgui_search (24)	COMPLETED	0	2021-01-11 12:14:19.996	49m 32s	49m 30s	102.9%	1.3 GB	6.2 GB	1.7 GB	1.2 GB
32	19/df13b4	7594	run_searchgui_search (3)	COMPLETED	0	2021-01-11 12:14:20.003	49m 49s	49m 47s	103.0%	1.3 GB	6.3 GB	1.7 GB	1.2 GB
40	75/73098a	7632	run_searchgui_search (11)	COMPLETED	0	2021-01-11 12:14:20.016	50m 30s	50m 27s	102.5%	1.3 GB	6.3 GB	1.7 GB	1.2 GB
56	c6/24b54b	8322	run_searchgui_search (27)	COMPLETED	0	2021-01-11 12:14:20.150	51m 4s	50m 59s	102.8%	1.3 GB	6.3 GB	1.7 GB	1.2 GB
57	35/58e221	22177	run_peptideshaker (1)	COMPLETED	0	2021-01-11 13:02:33.656	5m 47s	5m 43s	114.8%	923.4 MB	16.3 GB	883.2 MB	333.9 MB
58	7d/67279a	30701	run_peptideshaker (2)	COMPLETED	0	2021-01-11 13:02:40.599	5m 55s	5m 52s	116.2%	1.1 GB	16.5 GB	899.3 MB	338.4 MB
60	26/cb8547	36727	run_peptideshaker (4)	COMPLETED	0	2021-01-11 13:03:05.566	5m 46s	5m 43s	115.5%	983.4 MB	16.5 GB	885.5 MB	337 MB
61	c8/f6ad80	37840	run_peptideshaker (5)	COMPLETED	0	2021-01-11 13:03:08.991	5m 43s	5m 39s	115.9%	947.2 MB	16.3 GB	869.3 MB	327.2 MB
59	b2/0515b3	35786	run_peptideshaker (3)	COMPLETED	0	2021-01-11 13:03:03.943	5m 53s	5m 51s	115.7%	985.5 MB	16.1 GB	894.4 MB	337.9 MB
65	c2/b0e9a9	45696	run_peptideshaker (9)	COMPLETED	0	2021-01-11 13:03:26.032	5m 33s	5m 32s	116.6%	1012.9 MB	16.6 GB	868.8 MB	323.5 MB
